Country Name,Aruba,Afganistán,Angola,Albania,Andorra,El mundo árabe,Emiratos Árabes Unidos,Argentina,Armenia,Samoa Americana,Antigua y Barbuda,Australia,Austria,Azerbaiyán,Burundi,Bélgica,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrein,Bahamas,Bosnia y Herzegovina,Belarús,Belice,Bermudas,Bolivia,Brasil,Barbados,Brunei Darussalam,Bhután,Botswana,República Centroafricana,Canadá,Europa Central y del Báltico,Suiza,Islas del Canal,Chile,China,Côte d'Ivoire,Camerún,"Congo, República Democrática del","Congo, República del",Colombia,Comoras,Cabo Verde,Costa Rica,Estados pequeos del Caribe,Cuba,Curacao,Islas Caimán,Chipre,República Checa,Alemania,Djibouti,Dominica,Dinamarca,República Dominicana,Argelia,Asia oriental y el Pacífico (excluido altos ingresos),inicial del dividendo demográfico,Asia oriental y el Pacífico,Europa y Asia central (excluido altos ingresos),Europa y Asia central,Ecuador,"Egipto, República Árabe de",Zona del Euro,Eritrea,Espana,Estonia,Etiopía,Unión Europea,Frágiles y situaciones de conflicto afectados,Finlandia,Fiji,Francia,Islas Feroe,Micronesia (Estados Federados de),Gabón,Reino Unido,Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,Guinea Ecuatorial,Grecia,Granada,Groenlandia,Guatemala,Guam,Guyana,Ingreso alto,"Hong Kong, Región Administrativa Especial",Honduras,Países pobres muy endeudados (PPME),Croacia,Haití,Hungría,Sólo BIRF,BIRF y la AIF,total de la AIF,mezcla de la AIF,Indonesia,Sólo AIF,Isla de Man,India,No clasificado,Irlanda,"Irán, República Islámica del",Iraq,Islandia,Israel,Italia,Jamaica,Jordania,Japon,Kazajstán,Kenya,Kirguistán,Camboya,Kiribati,Saint Kitts y Nevis,"Corea, República de",Kuwait,América Latina y el Caribe (excluido altos ingresos),República Democrática Popular Lao,Líbano,Liberia,Libia,Santa Lucía,América Latina y el Caribe,Países menos desarrollados: clasificación de las Naciones Unidas,Países de ingreso bajo,Liechtenstein,Sri Lanka,Países de ingreso mediano bajo,Ingreso mediano y bajo,Lesotho,avanzada del dividendo demográfico,Lituania,Luxemburgo,Letonia,"Región Administrativa Especial de Macao, China",Isla de San Martín (parte francesa),Marruecos,Mónaco,República de Moldova,Madagascar,Maldivas,Oriente Medio y Norte de África,Mexico,Islas Marshall, Ingreso mediano,Ex República Yugoslava de Macedonia,Malí,Malta,Myanmar,Oriente Medio y Norte de África (excluido altos ingresos),Montenegro,Mongolia,Mariana,Mozambique,Mauritania,Mauricio,Malawi,Malasia,América del Norte,Namibia,Nueva Caledonia,Níger,Nigeria,Nicaragua,Países Bajos,Noruega,Nepal,Nauru,Nueva Zelandia,Miembros OCDE,Omán,Otros Estados pequeos,Pakistán,Panamá,Perú,Filipinas,Palau,Papua Nueva Guinea,Polonia,previa al dividendo demográfico,Puerto Rico,"Corea, República Popular Democrática de",Portugal,Paraguay,Ribera Occidental y Gaza,Estados pequeos de las Islas del Pacfico,posterior al dividendo demográfico,Polinesia Francesa,Qatar,Rumania,Federación de Rusia,Rwanda,Asia meridional,Arabia Saudita,Sudán,Senegal,Singapur,Islas Salomón,Sierra Leona,El Salvador,San Marino,Somalia,Serbia,África al sur del Sahara (excluido altos ingresos),Sudán del Sur,África al sur del Sahara,Pequeños Estados,Santo Tomé y Príncipe,Suriname,República Eslovaca,Eslovenia,Suecia,Swazilandia,Sint Maarten (Dutch part),Seychelles,República Árabe Siria,Islas Turcas y Caicos,Chad,Asia oriental y el Pacífico (BIRF y la AIF),Europa y Asia central (BIRF y la AIF),Togo,Tailandia,Tayikistán,Turkmenistán,América Latina y el Caribe (BIRF y la AIF),Timor-Leste,Oriente Medio y Norte de África (BIRF y la AIF),Tonga,Asia meridional (BIRF y la AIF),África al sur del Sahara (BIRF y la AIF),Trinidad y Tobago,Túnez,Turquía,Tuvalu,Tanzanía,Uganda,Ucrania,Ingreso mediano alto,Uruguay,Estados Unidos,Uzbekistán,San Vicente y las Granadinas,Venezuela,Islas Vírgenes Británicas,Islas Vírgenes (EE.UU.),Viet Nam,Vanuatu,Mundo,Samoa,Kosovo,"Yemen, Rep. del",Sudáfrica,Zambia,Zimbabwe
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,24.61277558,18.02038803,,,8.107799475,,,,,,,,,,,,,,,,,,27.12580939,13.78497328,21.42857143,,,,,,,,,,,,,,,,,,9.670549455,,,10.7881137,,,,32.91592129,17.67709538,32.91592129,12.55516445,,,12.69143694,,31.32462687,,,12.20580859,,20.54890922,,13.57634578,,,,10.36101467,,,,,,,,31.96721311,,,,,,19.13016846,,,,,,,15.3301546,15.3301546,,,,,,,,10.03831418,,,23.07692308,,19.07608145,,,14.73441289,,,,,,,,,,,,,,,,,,,,,32.91592129,,13.5995709,,2.242391885,,,,,,,,,,,,32.91592129,,,,,,,,,,,,,,23.94284038,,,,,,10.94934789,27.74788624,,,31.08108108,19.17269032,,23.07692308,,,,,,,13.78497328,,,,28.94736842,,,,19.34765726,,,,,,,,,,,,,,,,,,,,23.07692308,,,,,16.58653846,,,,,,,,15.3301546,,,,,,,,,,,,,32.91592129,,,,,32.91592129,,23.7314043,,,,,,,,19.17269032,,,,,,
1961,,,,,,,,,,,,23.65041358,18.59706362,,,8.394160584,,,,,,,,,,,,,,,,,,26.66945344,13.3544272,24.87804878,,,,,,,,,,,,,,,,,,9.992867463,,,11.33375078,,,,33.94271785,17.05288176,33.94271785,12.93645038,,,13.1314271,,32.91226856,,,12.55765977,,22.8591649,,13.75378001,,,,10.59995342,,,,,,,,32.49097473,,,,,,19.37073128,,,,,,,14.922049,14.922049,,,,,,,,10.22480058,,,24.34782609,,18.56614409,,,14.3459619,,,,,,,,,,,,,,,,,,,,,33.94271785,,13.21186639,,1.900739176,,,,,,,,,,,,33.94271785,,,,,,,,,,,,,,24.26641348,,,,,,11.46355857,29.29133858,,,32.42736645,19.41394722,,24.34782609,,,,,,,13.3544272,,,,27.54662841,,,,19.61933534,,,,,,,,,,,,,,,,,,,,24.34782609,,,,,18.42046219,,,,,,,,14.922049,,,,,,,,,,,,,33.94271785,,,,,33.94271785,,24.10398949,,,,,,,,19.41394722,,,,,,
1962,,,,,,,,,,,,23.97642353,18.56843366,,,7.901936027,,,,,,,,,,,,,,,,,,26.14526233,13.22595926,21.77227251,,,,,,,,,,,,,,,,,,9.991217647,,,10.54676658,,,,33.02752294,17.4466308,33.02752294,12.71823097,,,13.04838493,,35.21753461,,,12.35769189,,21.43306097,,12.83278291,,,,10.09129556,,,,,,,,30.95768374,,,,,,19.29703641,,,,,,,14.82384706,14.82384706,,,,,,,,10.79136691,,,21.77419355,,18.35568424,,,14.84387934,,,,,,,,,,,,,,,,,,,,,33.02752294,,13.12323197,,2.069716776,,,,,,,,,,,,33.02752294,,,,,,,,,,,,,,24.32996161,,,,,,11.86150606,29.50693374,,,33.93034826,19.34073748,,21.77419355,,,,,,,13.22595926,,,,31.50492264,,,,19.54747821,,,,,,,,,,,,,,,,,,,,21.77419355,,,,,17.81718387,,,,,,,,14.82384706,,,,,,,,,,,,,33.02752294,,,,,33.02752294,,24.20424695,,,,,,,,19.34073748,,,,,,
1963,,,,,,,,,,,,24.51311606,17.9007323,,,7.182738715,,,,,,,,,,,,,,,,,,25.95032945,13.38612191,20.02275313,,,,,,,,,,,,,,,,,,9.885931559,,,10.46130577,,,,31.78905865,17.19580263,31.78905865,12.64817013,,,13.02328824,,35.32626165,,,12.29455435,,19.48689956,,13.13128091,,,,9.805979751,,,,,,,,30.21806854,,,,,,19.1499024,,,,,,,14.98374123,14.98374123,,,,,,,,10.8315863,,,22.04724409,,18.973337,,,14.52437574,,,,,,,,,,,,,,,,,,,,,31.78905865,,13.2745295,,2.519975415,,,,,,,,,,,,31.78905865,,,,,,,,,,,,,,24.2043059,,,,,,11.67944418,28.69139258,,,32.13627993,19.19165606,,22.04724409,,,,,,,13.38612191,,,,29.4344473,,,,19.37824133,,,,,,,,,,,,,,,,,,,,22.04724409,,,,,17.34810852,,,,,,,,14.98374123,,,,,,,,,,,,,31.78905865,,,,,31.78905865,,24.08145269,,,,,,,,19.19165606,,,,,,
1964,,,,,,,,,,,,24.41970183,18.2059448,,,7.623361604,,,,,,,,,,,,,,,,,,25.69411562,12.68609582,23.46656114,,,,,,,,,,,,,,,,,,10.03508883,,,11.21611539,,,,32.05935252,17.14083224,32.05935252,12.73832978,,,13.04081852,,30.83543552,,,12.3364033,,19.58713394,,12.9844669,,,,9.957166168,,,,,,,,23.35381914,,,,,,19.22632758,,,,,,,14.45264453,14.45264453,,,,,,,,11.21621622,,,21.70542636,,19.1206157,,,14.58632233,,,,,,,,,,,,,,,,,,,,,32.05935252,,12.64353312,,2.208018594,,,,,,,,,,,,32.05935252,,,,,,,,,,,,,,24.26020311,,,,,,12.72749042,29.59459459,,,33.68146214,19.27107504,,21.70542636,,,,,,,12.68609582,,,,26.48845687,,,,19.48213273,,,,,,,,,,,,,,,,,,,,21.70542636,,,,,18.10952467,,,,,,,,14.45264453,,,,,,,,,,,,,32.05935252,,,,,32.05935252,,24.15595308,,,,,,,,19.27107504,,,,,,
1965,,,,,,,,,,,,24.24080029,19.28726877,,,8.050847458,,,,,,,,,,,,,,,,,,25.26918304,11.45707161,22.96105805,,,,,,,,,,,,,,,,,,9.984626969,,,12.02901942,,,,33.19220999,16.92003532,33.19220999,12.67354626,,,13.18904384,,29.80330673,,,12.25476088,,18.2885906,,13.52016031,,,,9.76421452,,,,,,,,21.88235294,,,,,,18.88029963,,,,,,9.505182867,13.87890517,13.87890517,,,,,,,,12.11484594,,,23.57142857,,18.78717201,,,14.32167762,,,,,,,,,,,,,,,,,,,,,33.19220999,,11.9714577,,2.232854864,,,,,,,,,,,,33.19220999,,,,,,,,,,,,,,23.67838968,,,,,,13.28759291,29.36408978,,,34.94486853,18.93076484,,23.57142857,,,,,,,11.89179771,,,,25.77319588,,,,19.14382363,,,,,,,,,,,,,,,,,,,,23.57142857,,,,,17.47329773,,,,,,,,13.87890517,,,,,,,,,,,,,33.19220999,,,,,33.19220999,,23.56003324,,,,,,,,18.93076484,,,,,,
1966,,,,,,,,,,,,23.82095695,20.11339093,,,7.881580237,,,,,,,,,,,,,,,,,,25.76129478,11.61139914,24.60521484,,,,,,,,,,,,,,,,,,10.6426152,,,12.29437229,,,,32.80733945,16.15708516,32.80733945,13.16171658,,,13.76607375,,29.25134391,,,12.70588704,,18.38345865,,14.11175005,,,,10.06057278,,,,,,,,21.1444522,,,,,,19.03006301,,,,,,10.77924564,13.97812583,13.97812583,,,,,,,,11.78343949,,,21.33333333,,18.39295248,,,13.65000883,,,,,,,,,,,,,,,,,,,,,32.80733945,,11.85211602,,2.46559633,,,,,,,,,,,,32.80733945,,,,,,,,,,,,,,23.54795327,,,,,,13.9950816,28.87168142,,,36.01312551,19.08391909,,21.33333333,,,,,,,11.79622385,,,,30.02336449,,,,19.30077308,,,,,,,,,,,,,,,,,,,,21.33333333,,,,,16.61356395,,,,,,,,13.97812583,,,,,,,,,,,,,32.80733945,,,,,32.80733945,,23.3852184,,,,,,,,19.08391909,,,,,,
1967,,,,,,,,,,,,23.85358331,20.43409211,,,8.547677262,,,,,,,,,,,,,,,,,,25.59234838,11.50945311,24.20606916,,,,,,,,,,,,,,,,,,10.55252013,,,12.80853903,,,,30.49357674,15.60921338,30.49357674,13.27411747,,,13.76950887,,27.23902906,,,12.82922718,,18.52122987,,13.80284973,,,,10.46140503,,,,,,,,20.10081916,,,,,,19.15381634,,,,,,11.57734122,13.55472473,13.55472473,,,,,,,,11.96228639,,,22.53521127,,18.00038473,,,13.2140633,,,,,,,,,,,,,,,,,,,,,30.49357674,,11.58506288,,2.467010901,,,,,,,,,,,,30.49357674,,,,,,,,,,,,,,23.73720283,,,,,,14.95594714,29.71211298,,,36.68885191,19.20005845,,22.53521127,,,,,,,11.49481993,,,,29.31034483,,,,19.43822468,,,,,,,,,,,,,,,,,,,,22.53521127,,,,,17.26882063,,,,,,,,13.55472473,,,,,,,,,,,,,30.49357674,,,,,30.49357674,,23.59820188,,,,,,,,19.20005845,,,,,,
1968,,,,,,,,,,,,24.08204025,19.71830986,,,8.807551875,,,,,,,,,,,,,,,,,,25.06493068,11.39930182,23.24288983,,,,,,,,,,,,,,,,,,10.40162731,,,12.99423394,,,,29.57039824,15.87028109,29.57039824,13.31542275,,,13.73877901,,27.0096463,,,12.88649608,,16.60206718,,14.13537633,,,,10.73563457,,,,,,,,19.1588785,,,,,,19.47199251,,,,,,11.6301059,13.38610255,13.38610255,,,,,,,,11.48684917,,,19.46308725,,17.93325114,,,13.54141407,,,,,,,,,,,,,,,,,,,,,29.57039824,,11.40456621,,2.528862012,,,,,,,,,,,,29.57039824,,,,,,,,,,,,,,24.22678077,,,,,,14.52082288,29.67708867,,,38.47415915,19.51392931,,19.46308725,,,,,,,11.35118085,,,,28.92307692,,,,19.77150576,,,,,,,,,,,,,,,,,,,,19.46308725,,,,,16.65249433,,,,,,,,13.38610255,,,,,,,,,,,,,29.57039824,,,,,29.57039824,,24.16302317,,,,,,,,19.51392931,,,,,,
